device_id,speed_percent,group_count_total,window_count_total,group_count_selected,window_count_selected,desired_group_count,selected_group_count_total,selected_window_count_total,stage,fold
Motor-2,50,234,27846,50,5950,250,250,29750,cv,0
Motor-2,75,259,30821,55,6545,250,250,29750,cv,0
Motor-2,100,270,32130,57,6783,250,250,29750,cv,0
Motor-4,70,417,49623,88,10472,250,250,29750,cv,0
Motor-2,50,234,27846,50,5950,250,250,29750,cv,1
Motor-2,75,259,30821,55,6545,250,250,29750,cv,1
Motor-2,100,270,32130,57,6783,250,250,29750,cv,1
Motor-4,70,418,49742,88,10472,250,250,29750,cv,1
Motor-2,50,234,27846,50,5950,250,250,29750,cv,2
Motor-2,75,259,30821,55,6545,250,250,29750,cv,2
Motor-2,100,270,32130,57,6783,250,250,29750,cv,2
Motor-4,70,418,49742,88,10472,250,250,29750,cv,2
Motor-2,50,233,27727,50,5950,250,250,29750,cv,3
Motor-2,75,260,30940,55,6545,250,250,29750,cv,3
Motor-2,100,271,32249,57,6783,250,250,29750,cv,3
Motor-4,70,417,49623,88,10472,250,250,29750,cv,3
Motor-2,50,233,27727,50,5950,250,250,29750,cv,4
Motor-2,75,259,30821,55,6545,250,250,29750,cv,4
Motor-2,100,271,32249,57,6783,250,250,29750,cv,4
Motor-4,70,418,49742,88,10472,250,250,29750,cv,4
