device_id,speed_percent,label,group_count_total,window_count_total,train_group_count,test_group_count,train_window_count,test_window_count
Motor-2,50,松动,43,5117,34,9,4046,1071
Motor-2,50,正常,165,19635,132,33,15708,3927
Motor-2,50,轴承故障,157,18683,126,31,14994,3689
Motor-2,75,松动,60,7140,48,12,5712,1428
Motor-2,75,正常,180,21420,144,36,17136,4284
Motor-2,75,轴承故障,165,19635,132,33,15708,3927
Motor-2,100,松动,60,7140,48,12,5712,1428
Motor-2,100,正常,188,22372,150,38,17850,4522
Motor-2,100,轴承故障,175,20825,140,35,16660,4165
Motor-4,70,正常,180,21420,144,36,17136,4284
Motor-4,70,汽蚀,127,15113,102,25,12138,2975
Motor-4,70,联轴器不对中,217,25823,174,43,20706,5117
Motor-4,70,转子不平衡,128,15232,102,26,12138,3094
