model,params,fold,macro_f1,group_overlap_count
bp,"{""alpha"": 0.0001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",0,0.9366461991570073,0
bp,"{""alpha"": 0.0001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",1,0.9406941682664481,0
bp,"{""alpha"": 0.0001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",2,0.9349421206441533,0
bp,"{""alpha"": 0.0001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",3,0.9443501595369955,0
bp,"{""alpha"": 0.0001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",4,0.9409302978156321,0
bp,"{""alpha"": 0.001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",0,0.9363923696984243,0
bp,"{""alpha"": 0.001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",1,0.9417260574042409,0
bp,"{""alpha"": 0.001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",2,0.9343549128801869,0
bp,"{""alpha"": 0.001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",3,0.9409876820970271,0
bp,"{""alpha"": 0.001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",4,0.9406037911073811,0
