device_id,speed_percent,label,group_count_total,window_count_total,group_count_selected,window_count_selected,desired_group_count,selected_group_count_total,selected_window_count_total,stage,fold
Motor-2,50,松动,26,3094,6,714,250,250,29750,cv,0
Motor-2,50,正常,106,12614,22,2618,250,250,29750,cv,0
Motor-2,50,轴承故障,102,12138,21,2499,250,250,29750,cv,0
Motor-2,75,松动,38,4522,9,1071,250,250,29750,cv,0
Motor-2,75,正常,116,13804,24,2856,250,250,29750,cv,0
Motor-2,75,轴承故障,105,12495,22,2618,250,250,29750,cv,0
Motor-2,100,松动,38,4522,9,1071,250,250,29750,cv,0
Motor-2,100,正常,120,14280,25,2975,250,250,29750,cv,0
Motor-2,100,轴承故障,112,13328,24,2856,250,250,29750,cv,0
Motor-4,70,正常,115,13685,24,2856,250,250,29750,cv,0
Motor-4,70,汽蚀,82,9758,17,2023,250,250,29750,cv,0
Motor-4,70,联轴器不对中,137,16303,29,3451,250,250,29750,cv,0
Motor-4,70,转子不平衡,83,9877,18,2142,250,250,29750,cv,0
Motor-2,50,松动,28,3332,7,833,250,250,29750,cv,1
Motor-2,50,正常,106,12614,22,2618,250,250,29750,cv,1
Motor-2,50,轴承故障,100,11900,21,2499,250,250,29750,cv,1
Motor-2,75,松动,40,4760,9,1071,250,250,29750,cv,1
Motor-2,75,正常,114,13566,24,2856,250,250,29750,cv,1
Motor-2,75,轴承故障,105,12495,22,2618,250,250,29750,cv,1
Motor-2,100,松动,38,4522,9,1071,250,250,29750,cv,1
Motor-2,100,正常,119,14161,25,2975,250,250,29750,cv,1
Motor-2,100,轴承故障,113,13447,24,2856,250,250,29750,cv,1
Motor-4,70,正常,115,13685,24,2856,250,250,29750,cv,1
Motor-4,70,汽蚀,81,9639,17,2023,250,250,29750,cv,1
Motor-4,70,联轴器不对中,141,16779,29,3451,250,250,29750,cv,1
Motor-4,70,转子不平衡,81,9639,17,2023,250,250,29750,cv,1
Motor-2,50,松动,28,3332,6,714,250,250,29750,cv,2
Motor-2,50,正常,106,12614,22,2618,250,250,29750,cv,2
Motor-2,50,轴承故障,99,11781,21,2499,250,250,29750,cv,2
Motor-2,75,松动,38,4522,9,1071,250,250,29750,cv,2
Motor-2,75,正常,116,13804,24,2856,250,250,29750,cv,2
Motor-2,75,轴承故障,106,12614,22,2618,250,250,29750,cv,2
Motor-2,100,松动,39,4641,9,1071,250,250,29750,cv,2
Motor-2,100,正常,119,14161,25,2975,250,250,29750,cv,2
Motor-2,100,轴承故障,112,13328,24,2856,250,250,29750,cv,2
Motor-4,70,正常,114,13566,24,2856,250,250,29750,cv,2
Motor-4,70,汽蚀,82,9758,17,2023,250,250,29750,cv,2
Motor-4,70,联轴器不对中,139,16541,29,3451,250,250,29750,cv,2
Motor-4,70,转子不平衡,83,9877,18,2142,250,250,29750,cv,2
Motor-2,50,松动,26,3094,6,714,250,250,29750,cv,3
Motor-2,50,正常,105,12495,22,2618,250,250,29750,cv,3
Motor-2,50,轴承故障,102,12138,22,2618,250,250,29750,cv,3
Motor-2,75,松动,38,4522,9,1071,250,250,29750,cv,3
Motor-2,75,正常,115,13685,24,2856,250,250,29750,cv,3
Motor-2,75,轴承故障,106,12614,22,2618,250,250,29750,cv,3
Motor-2,100,松动,39,4641,9,1071,250,250,29750,cv,3
Motor-2,100,正常,121,14399,25,2975,250,250,29750,cv,3
Motor-2,100,轴承故障,111,13209,23,2737,250,250,29750,cv,3
Motor-4,70,正常,115,13685,24,2856,250,250,29750,cv,3
Motor-4,70,汽蚀,82,9758,18,2142,250,250,29750,cv,3
Motor-4,70,联轴器不对中,140,16660,29,3451,250,250,29750,cv,3
Motor-4,70,转子不平衡,81,9639,17,2023,250,250,29750,cv,3
Motor-2,50,松动,28,3332,6,714,250,250,29750,cv,4
Motor-2,50,正常,105,12495,22,2618,250,250,29750,cv,4
Motor-2,50,轴承故障,101,12019,21,2499,250,250,29750,cv,4
Motor-2,75,松动,38,4522,9,1071,250,250,29750,cv,4
Motor-2,75,正常,115,13685,24,2856,250,250,29750,cv,4
Motor-2,75,轴承故障,106,12614,22,2618,250,250,29750,cv,4
Motor-2,100,松动,38,4522,9,1071,250,250,29750,cv,4
Motor-2,100,正常,121,14399,25,2975,250,250,29750,cv,4
Motor-2,100,轴承故障,112,13328,24,2856,250,250,29750,cv,4
Motor-4,70,正常,117,13923,25,2975,250,250,29750,cv,4
Motor-4,70,汽蚀,81,9639,17,2023,250,250,29750,cv,4
Motor-4,70,联轴器不对中,139,16541,29,3451,250,250,29750,cv,4
Motor-4,70,转子不平衡,80,9520,17,2023,250,250,29750,cv,4
