device_id,speed_percent,label,group_count_total,window_count_total,group_count_selected,window_count_selected,desired_group_count,selected_group_count_total,selected_window_count_total
Motor-2,50,松动,34,4046,6,714,250,250,29750
Motor-2,50,正常,132,15708,22,2618,250,250,29750
Motor-2,50,轴承故障,126,14994,21,2499,250,250,29750
Motor-2,75,松动,48,5712,9,1071,250,250,29750
Motor-2,75,正常,144,17136,24,2856,250,250,29750
Motor-2,75,轴承故障,132,15708,22,2618,250,250,29750
Motor-2,100,松动,48,5712,9,1071,250,250,29750
Motor-2,100,正常,150,17850,25,2975,250,250,29750
Motor-2,100,轴承故障,140,16660,24,2856,250,250,29750
Motor-4,70,正常,144,17136,24,2856,250,250,29750
Motor-4,70,汽蚀,102,12138,18,2142,250,250,29750
Motor-4,70,联轴器不对中,174,20706,29,3451,250,250,29750
Motor-4,70,转子不平衡,102,12138,17,2023,250,250,29750
