model,params,fold,macro_f1,group_overlap_count
bp,"{""alpha"": 0.0001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",0,0.9996423572497366,0
bp,"{""alpha"": 0.0001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",1,0.99964238780743,0
bp,"{""alpha"": 0.0001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",2,0.9980061360799212,0
bp,"{""alpha"": 0.0001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",3,0.9996918030327657,0
bp,"{""alpha"": 0.0001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",4,0.9997431866823309,0
bp,"{""alpha"": 0.001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",0,0.9996423725328067,0
bp,"{""alpha"": 0.001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",1,0.9998467245356014,0
bp,"{""alpha"": 0.001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",2,0.998824384420351,0
bp,"{""alpha"": 0.001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",3,0.9996917890327552,0
bp,"{""alpha"": 0.001, ""early_stopping"": false, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001, ""n_iter_no_change"": 10, ""validation_fraction"": 0.1}",4,0.9997431866823309,0
